category,tv_id,name,first_air_date,original_language,genre_list,creator,certification_us,user_score_average,vote_count,popularity,overview
popular_tv,1434,Les Griffin,1999-01-31,en,Animation | Comédie,Seth MacFarlane,TV-14,7.4,4702,119.7689,"La famille Griffin habite à Quahog, charmante petite bourgade américaine. Peter, le père, a érigé la fainéantise en philosophie de vie. Lois, la mère, est à la fois la femme au foyer bonne à tout faire et le cerveau de la famille. Chris, le fils, a hérité de son père ses formes généreuses et ses préoccupations favorites sont manger, surfer sur le web et manger. Megan, la fille, est l'archétype de l'adolescente en crise : elle ne s'aime pas et, en même temps, attend désespérément son prince. Stewie, le petit dernier, a pour ambition de conquérir le monde. Même Brian, le chien, est complètement fou, ou plutôt très intelligent : il parle, philosophe, débat... Bienvenue chez les Griffin !"
popular_tv,272418,Robin Hood,2025-11-02,en,Drame | Action & Adventure,Jonathan English,TV-MA,8.1,38,92.4142,"Après l'invasion normande de l'Angleterre, Rob, le fils d'un forestier saxon, et Marianne, la fille d'un seigneur normand, tombent amoureux et s'engagent ensemble pour faire triompher la justice et la liberté. Alors que Rob se retrouve à la tête d'une bande de rebelles hors-la-loi, Marianne infiltre le pouvoir à la cour. Tous deux s'efforcent de contrecarrer la corruption royale et d'apporter la paix dans le pays."
popular_tv,1399,Game of Thrones,2011-04-17,en,Science-Fiction & Fantastique | Drame | Action & Adventure,David Benioff,TV-MA,8.459,25752,112.7295,"Il y a très longtemps, à une époque oubliée, une force a détruit l'équilibre des saisons. Dans un pays où l'été peut durer plusieurs années et l'hiver toute une vie, des forces sinistres et surnaturelles se pressent aux portes du Royaume des Sept Couronnes. La confrérie de la Garde de Nuit, protégeant le Royaume de toute créature pouvant provenir d'au-delà du Mur protecteur, n'a plus les ressources nécessaires pour assurer la sécurité de tous. Après un été de dix années, un hiver rigoureux s'abat sur le Royaume avec la promesse d'un avenir des plus sombres. Pendant ce temps, complots et rivalités se jouent sur le continent pour s'emparer du Trône de fer, le symbole du pouvoir absolu."
popular_tv,4057,Esprits criminels,2005-09-22,en,Crime | Drame | Mystère,Jeff Davis,TV-MA,8.307,3949,104.7957,"L'équipe des profilers étudie les comportements et les esprits torturés des criminels les plus dangereux du pays, afin d'anticiper les crimes d'un éventuel tueur. Chaque membre de cette unité d'élite a sa personnalité, son histoire mais aussi sa spécialité. Ils sont tous dépendants les uns des autres et les résultats dépendent aussi de cette complémentarité."
popular_tv,1433,American Dad!,2005-02-06,en,Animation | Comédie,Matt Weitzman,TV-14,6.995,2263,101.987,"Agent de la CIA, Stan Smith est aussi l'époux comblé de la douce Francine et le fier papa de Hayley et Steve. Le tableau est idyllique. Le problème c'est que Stan a une légère tendance à verser dans la paranoïa. Prêt à tout pour défendre son Amérique chérie et ses valeurs conservatrices, il n'hésiterait pas à tirer sur son grille-pain si celui-ci était suspecté de trahison... Rajoutez à cela la présence dans la maison des Smith de Roger, l'alien sarcastique, et de Klaus, le poisson rouge d'origine germanique, et vous aurez le portrait haut en couleurs de ce père américain si parfait !"
popular_tv,2224,Le Daily Show,1996-07-22,en,News | Comédie,Madeleine Smithberg,TV-14,6.396,605,95.6618,"Trevor Noah et l'équipe de la plus fausse information au monde abordent les plus grandes histoires de l'actualité, de la politique et de la culture pop."
popular_tv,1396,Breaking Bad,2008-01-20,en,Drame | Crime,Vince Gilligan,TV-MA,8.926,16365,92.4552,Un professeur de chimie atteint d'un cancer s'associe à un ancien élève pour fabriquer et vendre de la méthamphétamine afin d'assurer l'avenir financier de sa famille.
popular_tv,46952,Blacklist,2013-09-23,en,Drame | Crime | Mystère,Jon Bokenkamp,TV-14,7.642,3409,92.2407,"Raymond « Red » Reddington, l’un des fugitifs les plus recherchés par le FBI, se rend en personne au quartier général du FBI à Washington. Il affirme avoir les mêmes intérêts que le FBI : faire tomber des criminels dangereux et des terroristes. Reddington coopérera, mais insiste pour ne parler qu’à Elizabeth Keen, une profileuse inexpérimentée du FBI. Keen s’interroge sur l’intérêt soudain que Reddington lui porte, bien qu’il soutienne que Keen est très spéciale. Après que le FBI a fait tomber un terroriste sur lequel il a fourni des informations, Reddington révèle que ce terroriste n’est que le premier de beaucoup d’autres à venir : durant les deux dernières décennies, il a fait une liste des criminels et terroristes qu'il croit introuvable par le FBI parce que ce dernier ignorait leur existence et que ce sont les plus importants. Reddington l’appelle « La Liste noire » (« The Blacklist »)."
popular_tv,1431,Les Experts,2000-10-06,en,Crime | Drame | Mystère,Ann Donahue,TV-14,7.637,1321,85.215,"À Las Vegas, un groupe d'experts scientifiques de la police recueille des indices sur les scènes de crime pour résoudre des enquêtes complexes. Un temps conduite par Gil Grissom, un entomologiste qui garde toujours son sang-froid, l'équipe enchaîne les affaires délicates : meurtres sanglants, viols, disparitions, leur taux d'efficacité est impressionnant. D.B. Russell, qui prend la suite des opérations après le départ de Gil Grissom et l'intérim de Raymond Langston, tente de maintenir la réputation d'excellence du service."
popular_tv,2261,The Tonight Show avec Johnny Carson,1962-10-01,en,Talk,Sylvester Weaver,,7.466,87,84.8401,"Le 1er octobre 1962, Groucho Marx accueillit Johnny Carson comme le nouveau présentateur du The Tonight Show.  L’émission a été filmée à New York pendant pratiquement les dix premières années, avec Johnny Carson en tant que présentateur. Puis à partir de mai 1972, le plateau déménagea au Studio One à Burbank en Californie pour le reste de son « mandat » ."
popular_tv,764,Inspecteur Barnaby,1997-03-23,en,Crime | Drame | Mystère,Anthony Horowitz,TV-14,7.485,333,84.7534,"L'inspecteur Barnaby, accompagné de son adjoint, enquêtent sur les crimes commis dans la région anglaise fictive du Midsomer..."
popular_tv,1911,Bones,2005-09-13,en,Crime | Drame,Hart Hanson,TV-14,8.207,3348,79.7693,"Temperance Brennan est une anthropologue hautement qualifiée qui travaille à l'Institut Jeffersonian. En examinant les squelettes de personnes décédées, elle est capable d'en reconstituer la vie et les circonstances de la mort. De telles capacités n'échappent pas au FBI qui fait appel à ses services dans le cadre d'affaires criminelles lorsque les méthodes traditionnelles d'identification des corps ne donnent rien. Temperance travaille en collaboration avec l'agent spécial Seeley Booth, ancien sniper de l'armée qui se méfie de la science et des scientifiques."
popular_tv,63926,One-Punch Man,2015-10-05,ja,Animation | Comédie | Action & Adventure | Science-Fiction & Fantastique,,TV-PG,8.4,3893,77.5349,"Saitama vient d'essuyer un énième refus d'embauche… Dépité, il voit sa vie basculer lorsqu'un homme-crabe menace sous ses yeux un garçon à tête de cul ! Il le sauve, et c'est la révélation. Il devient super-héros ! Encore un ? Non pas vraiment. Lui, c'est un anti-héros complètement à côté de la plaque. Son super pouvoir est de terrasser n'importe quel ennemi en un seul coup de poing. Quel ennui d'être si puissant… Saitama parviendra-t-il à enfin retrouver l'extase du combat en rencontrant un adversaire à sa mesure ?!"
popular_tv,59941,Le Tonight Show,2014-02-17,en,Comédie | Talk,,TV-14,5.878,360,76.9215,"Mêlant humour et talk-show, Jimmy Fallon reçoit des personnalités de la musique, du cinéma, ou encore du sport, pour un entretien."
popular_tv,293613,100 % physique : Asie,2025-10-28,ko,Reality,장호기,TV-14,7.3,12,76.8119,"Des athlètes de huit nationalités différentes s'affrontent pour la gloire de leur pays. Après des épreuves de force pure et d'endurance, seul un drapeau se lèvera pour la victoire."
popular_tv,5920,Mentalist,2008-09-23,en,Crime | Drame | Mystère,Bruno Heller,TV-14,8.358,4055,75.7956,Un mentaliste utilise ses extraordinaires dons d'observation pour résoudre des crimes en tant que consultant du CBI. Une façon pour lui de contribuer à la justice et de démasquer le mystérieux tueur en série qui a assassiné son épouse et sa fille...
popular_tv,1973,24 heures chrono,2001-11-06,en,Action & Adventure | Drame | Crime,Robert Cochran,TV-14,7.792,1668,75.5326,"Agent fédéral et responsable de la Cellule Anti-Terroriste de Los Angeles, Jack Bauer a 24 heures pour mener à bien sa mission, empêcher que des terroristes ne mettent leur plan à exécution, protéger les siens du danger qui les menace et sauver États-Unis. Chaque saison correspond à 24 heures dans la vie de Jack Bauer, en temps réel."
popular_tv,37680,"Suits, avocats sur mesure",2011-06-23,en,Drame,Aaron Korsh,TV-14,8.224,5429,74.8697,"Avocat très ambitieux d'une grosse firme de Manhattan, Harvey Specter a besoin de quelqu'un pour l'épauler. Son choix se porte sur Mike Ross, un jeune homme très brillant mais sans diplôme, doté d'un talent certain et d'une mémoire photographique très précieuse. Ensemble, ils forment une équipe gagnante, prête à relever tous les défis. Mike devra cependant user de toutes les ruses pour maintenir sa place sans que personne ne découvre qu'il n'a jamais passé l'examen du barreau."
popular_tv,60735,Flash,2014-10-07,en,Drame | Science-Fiction & Fantastique,Geoff Johns,TV-14,7.77,11419,74.4919,"Jeune expert de la police scientifique de Central City, Barry Allen se retrouve doté d'une vitesse extraordinaire après avoir été frappé par la foudre. Sous le costume de Flash, il utilise ses nouveaux pouvoirs pour combattre le crime."
popular_tv,230318,Открытый брак,2023-06-15,ru,,Анна Курбатова,,8.5,8,74.4026,
popular_tv,1668,Friends,1994-09-22,en,Comédie,Marta Kauffman,TV-14,8.424,8671,74.1966,"Les péripéties de 6 jeunes newyorkais liés par une profonde amitié. Entre amour, travail, famille, ils partagent leurs bonheurs et leurs soucis au Central Perk, leur café favori..."
popular_tv,1402,The Walking Dead,2010-10-31,en,Action & Adventure | Drame | Science-Fiction & Fantastique,Frank Darabont,TV-MA,8.092,17300,72.4275,"Après une apocalypse, ayant transformé la quasi-totalité de la population en zombies, un groupe d'hommes et de femmes, mené par le shérif adjoint Rick Grimes, tente de survivre… Ensemble, ils vont devoir, tant bien que mal, faire face à ce nouveau monde, devenu méconnaissable, à travers leur périple dans le Sud profond des États-Unis."
popular_tv,2316,The Office,2005-03-24,en,Comédie,Greg Daniels,TV-14,8.588,4765,67.7211,"Le quotidien d'un groupe d'employés de bureau dans une fabrique de papier en Pennsylvanie. Michael Scott, le responsable régional, pense être le mec le plus drôle du bureau. Il ne se doute pas que ses employés le tolèrent uniquement parce que c'est lui qui signe les chèques. S'efforçant de paraître cool et apprécié de tous, Michael est en fait perçu comme étant pathétique…"
popular_tv,502,1 Rue Sesame,1969-11-10,en,Kids | Comédie,Lloyd Morrisett,TV-Y,7.1,271,67.4221,Emission de télévision éducative pour les jeunes enfants.
popular_tv,95479,Jujutsu Kaisen,2020-10-03,ja,Animation | Action & Adventure | Science-Fiction & Fantastique,,TV-14,8.6,4001,68.2835,"Souffrance, regrets, humiliations... les sentiments négatifs que ressentent les humains se transforment peu à peu en fléaux se cachant dans notre existence. Sévissant dans le monde entier, ils sont capables d'entraîner les gens dans de terribles malheurs et, parfois même, jusqu'à la mort. De plus, ces créatures ne peuvent être exorcisées que par un autre fléau.  Lycéen ordinaire, Yuji Itadori est toutefois doté d'une force physique hors du commun. Un jour, pour sauver un ami attaqué par un fléau, il mange un des doigts du démon à deux visages, devenant à son tour un fléau. Dès lors, il partage son corps avec le démon..."
popular_tv,217528,Heweliusz,2025-11-05,pl,Drame,Jan Holoubek,TV-MA,7.324,17,63.8747,"Un ferry coule dans la mer Baltique. Resté à quai, le capitaine cherche des réponses et réclame justice pour les morts... et les proches qu'ils ont laissés derrière eux."
popular_tv,2691,Mon oncle Charlie,2003-09-22,en,Comédie,Lee Aronsohn,TV-14,7.445,3499,70.3597,"La vie d'un riche célibataire est bouleversée lorsque son frère divorcé et son neveu de dix ans débarquent dans sa propriété de Malibu. Malgré leurs différences, les deux frères décident de cohabiter pour offrir un foyer au jeune Jake."
popular_tv,44006,Chicago Fire,2012-10-10,en,Drame,Michael Brandt,TV-14,8.399,2319,68.7614,"La série se déroule de nos jours à Chicago, aux États-Unis et suit les membres d'une caserne des sapeurs-pompiers de la ville : le Chicago Fire Department."
popular_tv,73586,Yellowstone,2018-06-20,en,Western | Drame,Taylor Sheridan,TV-MA,8.256,2912,64.0069,"Dans le Montana, la famille Dutton possède le plus grand ranch des États-Unis près du parc national de Yellowstone. Menée par le patriarche John, la famille se bat contre des politiciens et des promoteurs immobiliers."
popular_tv,75219,9-1-1,2018-01-03,en,Drame | Crime | Action & Adventure,Ryan Murphy,TV-14,8.217,2681,63.3978,"Du service d'appels d'urgences 911 aux pompiers, secouristes ou policiers, tous ces intervenants sont constamment sous pression, confrontés quotidiennement à des situations stupéfiantes, effrayantes, et parfois même choquantes. S'ils ont pour mission de voler au secours des personnes en danger, ces héros de l'ombre doivent aussi trouver le temps de résoudre les problèmes de leurs propres vies..."
popular_tv,71790,S.W.A.T.,2017-11-02,en,Crime | Action & Adventure | Drame,Aaron Rahsaan Thomas,TV-14,8.056,1512,67.947,"Un lieutenant du S.W.A.T est tiraillé entre sa loyauté envers ses origines modestes, dont ses amis de la rue avec qui il a grandi et qui n'ont pas aussi bien tourné que lui, et son devoir envers ses co-équipiers. Une dualité qui finit par prendre tout son sens lorsqu'il se voit chargé d'organiser une unité hautement qualifiée pour résoudre les crimes à Los Angeles."
popular_tv,65334,"Miraculous, les aventures de Ladybug et Chat Noir",2015-10-19,fr,Action & Adventure | Animation | Kids,Thomas Astruc,TV-Y7,8.0,4527,65.5762,"Paris, aujourd'hui. Marinette et Adrien sont deux collégiens comme les autres, à la différence près qu’ils ont été choisis pour sauver Paris ! Leur mission : capturer les Akumas du mystérieux Papillon qui transforment les parisiens en super vilains. Grâce à leur kwami, nos deux collégiens se métamorphosent en superhéros : Ladybug, et Chat Noir."
popular_tv,256624,Talamasca: The Secret Order,2025-10-19,en,Science-Fiction & Fantastique,John Lee Hancock,TV-MA,7.048,21,66.1031,"L'Ordre de Talamasca est une société secrète chargée de traquer et contenir les sorcières, vampires, loups-garous et autres créatures surnaturelles disséminées à travers le monde. Guy Anatole découvre l'existence de cette mystérieuse organisation qui le surveille depuis son enfance et se retrouve propulsé dans un univers dangereux, plein de secrets et d'êtres immortels. Pour préserver le fragile équilibre avec le monde des mortels, Guy doit apprendre à accepter et maîtriser sa part d'ombre..."
popular_tv,206559,Binnelanders,2005-10-13,af,Soap,Human Stark,,5.5,104,63.0728,
popular_tv,80748,FBI,2018-09-25,en,Crime | Action & Adventure | Drame,Dick Wolf,TV-14,7.9,865,62.3964,"Les agents spéciaux de la branche new-yorkaise du FBI usent de tous leurs talents et leur expertise pour assurer la protection de la ville et du pays. Les membres de cette unité d'élite combattent aussi bien le terrorisme, le crime organisé que le contre-espionnage."
popular_tv,63174,Lucifer,2016-01-25,en,Crime | Science-Fiction & Fantastique,Tom Kapinos,TV-14,8.441,15178,66.0589,"Lassé d’être le Seigneur des Enfers, le diable s’installe à Los Angeles où il ouvre une boîte de nuit et se lie avec une policière de la brigade criminelle..."
popular_tv,1421,Modern Family,2009-09-23,en,Comédie,Steven Levitan,TV-PG,7.885,3110,72.0847,"Quand les familles Pritchett, Delgado et Dunphy acceptent qu'un documentaire soit tourné sur leurs vies, elles étaient loin d'imaginer qu'elles allaient tant en révéler… Jay Pritchett a rencontré la très sexy Colombienne Gloria Delgado le jour où sa femme l'a quitté. Leur différence d'âge est pour lui un challenge de tous les jours. Sa fille, Claire, a elle-même bien du mal à gérer sa vie de famille depuis que son mari, Phil, est persuadé d'être en phase avec ses enfants adolescents alors qu'il ne fait que les embarrasser ! Quant au frère de Claire, Mitchell, il vit avec son petit-ami Cameron et ils viennent d'adopter Lily, une petite Vietnamienne…"
popular_tv,44217,Vikings,2013-03-03,en,Action & Adventure | Drame | War & Politics,Michael Hirst,TV-MA,8.093,7359,70.4053,"Les exploits d'un groupe de vikings de la fin du 8ème siècle jusqu'au milieu du 11ème, mené par Ragnar Lodbrok, l'un des plus populaires héros viking de tous les temps, qui a régné quelques temps sur le Danemark et la Suède..."
popular_tv,283123,Eşref Rüya,2025-03-19,tr,Drame,Ethem Özışık,,7.3,18,58.3898,
popular_tv,124364,FROM,2022-02-20,en,Mystère | Drame | Science-Fiction & Fantastique,John Griffin,TV-MA,8.164,2202,61.2194,"Découvrez le mystère d'une ville cauchemardesque dans le centre des États-Unis qui piège tous ceux qui y entrent. Alors que les habitants réticents se battent pour garder un sentiment de normalité et cherchent une issue, ils doivent également survivre aux menaces de la forêt environnante, y compris les créatures terrifiantes qui sortent lorsque le soleil se couche."
popular_tv,32415,Conan,2010-11-08,en,Talk | Comédie | News,Conan O'Brien,TV-14,7.136,242,60.5047,"Une émission-débat de fin de soirée, animée par Conan O'Brien."
popular_tv,245219,Le Président foudroyé,2025-11-06,en,Drame | Crime,Mike Makowsky,TV-MA,8.056,18,58.8978,"L'histoire de James Garfield, qui a émergé de l'ombre pour devenir le vingtième président des États-Unis, et de Charles Guiteau, l'homme qui l'a assassiné."
popular_tv,278635,"My Gift Lvl 9999 Unlimited Gacha: Backstabbed in a Backwater Dungeon, I'm Out for Revenge!",2025-10-03,ja,Animation | Action & Adventure | Science-Fiction & Fantastique | Drame,,TV-14,9.25,12,57.4953,"Dans les temps anciens, Dieu créa neuf races. Les humains étaient la race la plus faible et la plus ridiculisée parmi elles. Light, un garçon humain, eut la chance d'être invité à rejoindre un groupe réunissant les neuf races, appelé « l'Assemblée des races ». Il fut heureux d'en être membre pendant un certain temps, mais ce ne fut qu'un rêve éphémère. Ses espoirs ne furent que trahis par ses compagnons dans le plus grand et le plus odieux des donjons, « l'Abîme ». Après avoir survécu seul au fond de l'Abîme, Light apprend la véritable signification de son don, « Gacha illimité ». Light sortira du pire désespoir pour bâtir son propre empire composé des joueurs les plus forts."
popular_tv,210865,Yalı Çapkını,2022-09-23,tr,Familial | Drame,Burcu Alptekin,,8.3,87,60.0657,
popular_tv,46296,Spartacus,2010-01-22,en,Drame,Steven S. DeKnight,TV-MA,8.0,2729,60.1403,"C’est dans le sang et le sable des arènes que s’écrit la légende de Spartacus. Puissant guerrier Thrace trahi par un ambitieux légat romain, Spartacus est réduit en esclavage, contraint de devenir gladiateur s’il veut un jour revoir sa femme. Au sein de l’école de gladiateurs du machiavélique Batiatus et de son épouse Lucretia, Spartacus recevra l’enseignement de l’impitoyable Doctore pour devenir le plus redoutable des combattants. Mais entre l’hostilité des autres gladiateurs et les manigances de Lucretia, Spartacus devra tout sacrifier pour pouvoir survivre..."
popular_tv,58841,Chicago Police Department,2014-01-08,en,Crime | Drame,Dick Wolf,TV-14,8.41,2508,60.7526,"Des officiers en uniforme qui patrouillent et combattent le crime dans la rue, aux membres de l'unité des renseignements affectés à des affaires majeures (crime organisé, trafic de drogue, homicides...), toutes les recrues du poste de police du district 21 de Chicago risquent quotidiennement leurs vies. Ces énormes responsabilités dépassent souvent le simple cadre professionnel et entâchent la sphère privée de ces hommes et de ces femmes d'exception.  Spin-off de Chicago Fire centré sur une brigade de police de la ville."
popular_tv,60572,Pokémon,1997-04-01,ja,Animation | Action & Adventure | Science-Fiction & Fantastique,,TV-Y7,7.948,2068,66.9003,"L'histoire suit les aventures d'un jeune garçon nommé Sacha dont le but est de devenir un jour Maître Pokémon. Pour cela, il va faire connaissance d'un Pikachu à très mauvais caractère au début, mais qui va vite devenir par la suite son meilleur ami. Sacha va aussi rencontrer d'autres dresseurs avec qui il partagera ses aventures. Lors de son voyage dans plusieurs régions, il va devoir continuer à progresser pour découvrir de nouveaux Pokémon et peut-être les capturer. Et avec ces derniers comme amis, il va aussi devoir affronter des groupes de bandits, surtout la Team Rocket. Mais il va aussi faire face à d'autres personnes malintentionnées. Heureusement, Sacha peut compter sur ses amis pour l'aider. Ensemble et parfois avec d'autres personnages en plus, la grande quête leur réservera bien des surprises..."
popular_tv,286801,Monstre - L'Histoire d'Ed Gein,2025-10-03,en,Drame | Crime,Ian Brennan,TV-MA,7.332,367,54.6987,"La choquante histoire vraie d'Ed Gein, l'infâme tueur et pilleur de tombes qui a inspiré bon nombre des meurtriers les plus emblématiques du cinéma hollywoodien."
popular_tv,217837,Zomvivor,2025-10-31,th,Drame | Science-Fiction & Fantastique | Action & Adventure,,TV-MA,7.5,11,46.5911,
popular_tv,288577,ギルティホール,2025-10-06,ja,Animation,,TV-MA,8.0,1,55.8222,
popular_tv,45789,Le tourbillon de l'amour,2005-09-26,de,Drame | Soap,Bea Schmidt,NR,6.0,38,65.9564,"Les intrigues du Fürstenhof, un hôtel cinq étoiles situé en Bavière."
popular_tv,65701,Good Mythical Morning,2012-01-09,en,Comédie,Rhett McLaughlin,TV-14,7.0,85,61.7423,"Good Mythical Morning est une série YouTube de comédie, de discussion et de variétés américaine créée par Rhett McLaughlin et Link Neal. L'émission a été diffusée pour la première fois sur YouTube le 9 janvier 2012. De nombreuses célébrités et personnalités d'Internet, dont Daniel Radcliffe, Felix Kjellberg, Hank Green, Kobe Bryant et Linkin Park ont participé au show. L'émission se concentre sur Rhett et Link alors qu'ils racontent des histoires, chantent des chansons, relèvent des défis, etc..."
popular_tv,873,Columbo,1971-09-15,en,Crime | Drame,William Link,TV-PG,8.103,772,57.0662,"Le lieutenant Columbo est le policier le plus célèbre de la police criminelle de Los Angeles.  Dans Columbo, les assassins sont des citoyens aisés, voire fortunés. Ils ne sont pas à un assassinat près et n'ont que faire d'un petit fonctionnaire de la police locale qu'ils perçoivent sans grande estime. Un policier qui n' a rien en commun avec ces confrères, il est vêtu d'habits modestes et fatigués, d'un imperméable froissé, roulant dans une veille Peugeot 403 délabrée. Il ne porte pas d'arme, s'exprime toujours avec une grande courtoisie et prête un grand intérêt aux observations et analyses des moindres détails. Ces assassins se croient à l'abri, dégainant un alibi préparé et assurés d'avoir commis le crime parfait retournent à leur vie quotidienne. Mais Columbo n'a pas son pareil pour harceler d'une dernière question, les pousser à bout pour qu'ils commenttent une erreur. Un véritable jeu du chat et de la souris s'engage entre Columbo et les suspects."
